created_time,user_id,text,is_retweet,is_quote,is_reply,tags,sentiment_scores,is_real
2022-07-19 19:18:27,1355911468902981639,هیچ کس تنها نیست … … همراه اول,False,False,True,{'hamrah_aval'},1,1
2022-07-19 19:13:32,614986877,بلی، ایرانسل از همراه اول بدتره حتی,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
2022-07-19 19:09:10,941220112845164544,بسته سه ماهه همراه اول رو دو دوره یعنی شش ماه مصرف کردم تا اخر ماه سوم نت داشتم بار سوم یعنی همین بار اخر که بسته‌ها رو حذف کردن خریدم یه ماه و نیمه اعلام کرد بسته شما تموم شده درحالی که من از همیشه کمتر مصرف داشتم دزدن دزد هرکس یه جور دزده تو این مملکت اسنپ یه جور نت یه جور,False,False,True,{'hamrah_aval'},0,1
2022-07-19 19:05:41,822277959176306688,همراه اول هم همینه,False,False,True,{'hamrah_aval'},1,1
2022-07-19 19:00:44,1111363641545236480,بسته‌ی سه گیگ ماهانه‌ی اینترنت همراه اول می‌خریم، ۴۸ساعت بعد پیامک میاد سه گیگ‌تون تموم شد! در حالی‌که آمار مصرف طبق محاسبه‌ی خود گوشی با احتساب تولرانس، فوقش ۴۰۰ مگ بوده! این هم سرقت اموال مردمه، هم کم‌فروشیه و هم خیانت در امانت! آقای وزیر ارتباطات!,False,False,False,{'hamrah_aval'},-1,1
2022-07-19 18:26:36,1375851138503827462,توی شهر ما فقط تونستم یه نقطه رو پیدا کنم که همراه اول ۵۰مگابیت بگیره اونم تو اتاق خواهرم بغل کمدش بود=))))),False,False,True,{'hamrah_aval'},0,1
2022-07-19 18:10:06,1255081788583686144,همراه اول نمیذاره قبضمو بدم بسته بگیرم اینترنتم همینجوری داره تعرفه آزاد حساب میکنه. کس پدرت,False,False,False,{'hamrah_aval'},-1,1
2022-07-19 17:58:12,822109291897352192,الان تو فضام! اینجا بد آنتن میده، بخصوص خط ایرانسل و همراه اول!! برگشتم زمین در خدمتتونم.,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
2022-07-19 17:48:40,1073936389174149120,شارژ دویی همراه اول بفرست دایرکت عکس میدم,False,False,True,{'hamrah_aval'},0,1
2022-07-19 17:47:33,1428358286,کلا همراه اول به صرفه نیست,False,False,True,{'hamrah_aval'},-1,1
2022-07-19 17:36:05,1211990574196117504,هیچ‌کس تنها نیست، همراه اول:) بیا دست بدیم,False,False,True,{'hamrah_aval'},0,1
2022-07-19 17:27:51,1542029576653737985,جز همراه اول و ایرانسل پیامی ندارم,False,False,True,"{'hamrah_aval', 'irancell'}",0,1
2022-07-19 17:15:33,1457944884778782720,متأسفانه در این مورد همراه اول دروغ میگه و تو تنهایی,False,False,True,{'hamrah_aval'},-1,1
2022-07-19 17:13:43,712836540670599168,من در خواست مودم‌کردم از یک شرکت خصوصی حالم‌دیگه از ایرانسل و همراه اول بهم‌میخوره,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
2022-07-19 16:38:00,1078956681420263429,ریدم به قبرت همراه اول با این سرعت تخمیت,False,False,False,{'hamrah_aval'},0,1
2022-07-19 16:36:44,1485871931417104389,همراه اول، همراه همیشگی شما. تولدتان مبارک,False,False,True,{'hamrah_aval'},0,1
2022-07-19 16:02:27,1386297821545082882,خب همراه اول شوخی میکنم,False,False,True,{'hamrah_aval'},0,1
2022-07-19 15:48:21,1154847104071811072,سیم کارت رایتل بگیرید همراه اول داغونه,False,False,True,"{'hamrah_aval', 'rightel'}",-1,1
