index,created_time,user_id,text,is_retweet,is_quote,is_reply,tags,sentiment_scores,is_real
0,2022-09-20 13:49:18,3632158635,همراه اول دوباره تو تهران مسدود شد: #مهسا_امینی #‌Mahsa_Amini,False,False,False,{'hamrah_aval'},0,0
1,2022-09-20 13:48:29,1495092929672663045,نمیدونم اونا به چه حسابی گفتن ولی به نظر منم واس تظاهرات نباشه چون اون پیام دقیقا از طرف شرکت‌های همراه اول و ایرانسل واس مخاطبت ارسال میشه و ینی لوکیشن دقیق خودتو دادی دست سپاه به نظرم کسی گوشیشو نبره کلا همه جوره بگایی داره,False,False,True,"{'hamrah_aval', 'irancell'}",1,1
2,2022-09-20 13:47:55,1523134664,اینترنت همراه اول قطع شد #مهسا_امینی #امیرحسین_خادمی,False,False,False,{'hamrah_aval'},-1,1
3,2022-09-20 13:47:48,1388471634948808709,اینترنت همراه اول در اصفهان قطع شد #مهسا_امینی,False,False,False,{'hamrah_aval'},-1,1
4,2022-09-20 13:45:57,22247218,"الان نزدیک انقلابم , کریر همراه اول اینترنتش رو قطع کرد #مهسا_امینی",False,False,False,{'hamrah_aval'},0,1
5,2022-09-20 13:45:17,1584066241,اینترنت همراه اول مرکز تهران رو قطع کردند.,False,False,False,{'hamrah_aval'},0,1
6,2022-09-20 13:44:25,804047241388392448,واقعا اینو جدی گفتی وقتی داده روشن باشه داری از اینترنت استفاده میکنی فقط همراه اول و ایرانسل جوری تنظیم کردن که اگر درخواستت برای سرور‌های سوروش هست هزینه‌ای رو محاسبه نکنن,False,False,True,"{'hamrah_aval', 'irancell'}",0,1
7,2022-09-20 13:44:02,852864093816070144,مرکز شهر، همراه اول قطع شده. ایرانسل هنوز وصله. صدای ما باشید #مهسا_امینی #MahsaAmini,False,False,False,"{'hamrah_aval', 'irancell'}",-1,1
8,2022-09-20 13:42:55,1212419656117391360,امروز تهرانیا کون اعتراض ندارن گویا بطرز عجیبی با نت همراه اول، فیلترشکن وصل شده و سرعت هم خوب اونم در قلب خ شریعتی,False,False,False,{'hamrah_aval'},1,1
9,2022-09-20 13:42:49,1565730631170117632,دوباره تهران حوالی مرکز شهر اینترنت همراه اول قطع شد,False,False,False,{'hamrah_aval'},-1,1
10,2022-09-20 13:42:49,1054845604797562881,نت همراه اول قطعه,False,False,False,{'hamrah_aval'},0,1
11,2022-09-20 13:42:24,985811960905297920,من اینترنت خطم رفت (همراه اول),False,False,True,{'hamrah_aval'},0,1
12,2022-09-20 13:41:57,1372254236336095235,همراه اول شروع کرد,False,False,False,{'hamrah_aval'},0,1
13,2022-09-20 13:41:19,1114076634712166401,اینترنت همراه اول اصفهان رفت #مهسا_امینی,False,False,False,{'hamrah_aval'},0,1
14,2022-09-20 13:40:27,744925043768107008,همراه اول ریدمان اساسیه ایرانسل نمیدونم ولی رایتل فعلا کار میکنه مگه اهواز هم خبری شده؟ من دو ماهه تو بیمارستان دفن شدم اصلا فرصت نمیشه پامو تو خیابون بذارم!,False,False,True,"{'rightel', 'hamrah_aval', 'irancell'}",0,1
15,2022-09-20 13:39:58,3256909352,اینترنت همراه اول در بلوار کشاورز فلسطین قطع شد #مهسا_امینی,False,False,False,{'hamrah_aval'},0,1
16,2022-09-20 13:38:40,1555543089946640384,بخاطر نت شبانه بیداری بعد میای تکست میدی که فکرش نمیذاره بخوابم؟ بیا برو گوزو همراه اول و ایرانسل بزنه تو کمرت,False,False,False,"{'hamrah_aval', 'irancell'}",0,1
17,2022-09-20 13:38:23,1241511308547293190,دیتا سرویس همراه اول قطع شد!,False,False,False,{'hamrah_aval'},-1,1
18,2022-09-20 13:34:41,56325165,*وای‌فای و همراه اول,False,False,True,{'hamrah_aval'},0,1
19,2022-09-20 13:34:31,1266783159762456582,اینترنت همراه اول تو بعضی مناطق آبادان و اهواز و خرمشهر قطه، رایتل و مودم هم باکمترین سرعت و بیشترین قطعی,False,False,True,"{'rightel', 'hamrah_aval'}",0,0
20,2022-09-20 13:32:57,1313467146597523456,اینترنت‌های همراه اول توی اصفهان قطع شدن!!! #مهسا_امینی #MahsaAmini,False,False,False,{'hamrah_aval'},0,0
21,2022-09-20 13:32:43,1547636895135309827,همراه اول قطع شده ولی ایرانسل هست میتونید حالا شبکه رو بزنید رو E ضعیفه ولی کار میکنه,False,False,True,"{'hamrah_aval', 'irancell'}",0,1
22,2022-09-20 13:32:37,56325165,ظهر به بعد تقریبا هیچ فیلمی باز نمیشه، عکس هم به زور. اینترنت موبایل و همراه اول هر دو.,False,False,False,{'hamrah_aval'},0,1
23,2022-09-20 13:32:27,1099764012865253379,نت همراه اول اهواز در حال قطع و وصل شدنه. ‌‌‌ ….!!!,False,False,False,{'hamrah_aval'},0,1
24,2022-09-20 13:28:37,1339234542985547776,بچها اینترنت همراه اول تو اصفهان قطع شده #مهسا_امینی همراه اول خایه مال,False,False,False,{'hamrah_aval'},-1,1
25,2022-09-20 13:28:27,1483352124679499779,باز اینترنت قطع کردن هم ایرانسل هم همراه اول. کارگر شمالی-کشاورز #مهسا_امینی #mahsa_amini,False,False,False,"{'hamrah_aval', 'irancell'}",0,1
26,2022-09-20 13:25:32,48692432,#فیلترنت #ایرانسل تو منطقه ما قطع شد! همراه اول هنوز وصله!,False,False,False,"{'hamrah_aval', 'irancell'}",-1,1
27,2022-09-20 13:22:24,890094377833517056,مهم اینترنت همراه اول و ایرانسل توی #اهواز ناپایداره و همش قطع میشه. احتمالا به زودی کامل قطع میشه.,False,False,False,"{'hamrah_aval', 'irancell'}",-1,1
28,2022-09-20 13:16:16,2345956399,اینترنت همراه اول توی اصفهان کلا قطع شد و اینترنت ایرانسل به کندی عمل می‌کند، پخش کنید همه بفهمن #مهسا_امینی,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
29,2022-09-20 13:11:24,961698911462273026,اینترنت همراه اول قطع شده! دارم با ۲g توییت میزنم! ولی کف خیابون میبینمتون! میریم که شلوارگه بسیجیهارو در بیاریم! #مهسا_امینی #Mahsa_Amini,False,False,False,{'hamrah_aval'},0,1
30,2022-09-20 13:10:41,1453808297128169476,نت همراه اول شما هم قطع شده؟ #مهسا_امینی,False,False,False,{'hamrah_aval'},0,1
31,2022-09-20 13:07:09,718040984437829634,نت اصفهان و بستن همراه اول کلا قطع ه,False,False,True,{'hamrah_aval'},0,1
32,2022-09-20 13:02:33,1429572445166440451,اینترنت اصفهان در حال ضعیف شدن هست همراه اول هم کلا قطعه,False,False,False,{'hamrah_aval'},-1,1
33,2022-09-20 13:02:20,1555893800454836225,همراه اول قطع شد. ایرانسل ۳g,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
34,2022-09-20 12:56:58,1460244618243629064,ماهشهر همراه اول قطع شده و ایرانسل خیلی ضعیفه #مهسا_امینی #Mahsa_Amini,False,False,True,"{'hamrah_aval', 'irancell'}",-1,1
35,2022-09-20 12:55:28,1348648039003660290,بغل دستیتون که با فریاد شعار میده هم اعتماد نکنید!!! ۷-گاهی ادای تلفن زدن در میارن و دوربین گوشی رو میگیرن سمتتون. حواستون باشه جلوی دوربین گوشی کسی نباشید ۸-به بعضی از هسته‌ها که مهم‌تر هستند سیمکارتی تحت عنوان سیمکارت vip میدن که خط همراه اول هستش و هر دفعه که تماس میگیرن,False,False,True,{'hamrah_aval'},0,1
36,2022-09-20 12:55:08,1391631949333213191,همراه اول اینترنت بهبهان رو قطع کرده #خوزستان #مهسا_امینی,False,False,False,{'hamrah_aval'},0,1
37,2022-09-20 12:53:36,1400776185232113668,نت همراه اول پرید #مهسا_امینی,False,False,False,{'hamrah_aval'},0,1
38,2022-09-20 12:52:23,1391631949333213191,همراه اول قطع شده، از یه نفر ک ایرانسل داره نت گرفتم,False,False,True,"{'hamrah_aval', 'irancell'}",0,1
39,2022-09-20 12:51:22,1135923157314023424,عهههه اصفهان نت همراه اول قطع شد #مهساامینی,False,False,False,{'hamrah_aval'},0,1
40,2022-09-20 12:51:13,1449457263731687436,اینجا از دیشب نت همراه اول و ایرانسل قطعه:,False,False,True,"{'hamrah_aval', 'irancell'}",0,1
41,2022-09-20 12:45:04,1348648039003660290,که با فریاد شعار میده هم اعتماد نکنید!!! ۷-گاهی ادای تلفن زدن در میارن و دوربین گوشی رو میگیرن سمتتون. حواستون باشه جلوی دوربین گوشی کسی نباشید ۸-به بعضی از هسته‌ها که مهم‌تر هستند سیمکارتی تحت عنوان سیمکارت vip میدن که خط همراه اول هستش و هر دفعه که تماس میگیرن یه شماره جدید,False,False,True,{'hamrah_aval'},0,1
42,2022-09-20 12:44:08,947859509535535104,فعلا که فقط همراه اول خط کار میکنه البته,False,False,True,{'hamrah_aval'},0,1
